text,category
"hostel mein wifi nahi chal raha","Wi-Fi"
"campus wifi bahut slow hai","Wi-Fi"
"library ka internet connect nahi ho raha","Wi-Fi"
"hostel block A mein net band hai","Wi-Fi"
"wifi baar baar disconnect ho raha hai","Wi-Fi"
"academic block ka internet kaam nahi kar raha","Wi-Fi"
"online class ke time wifi bahut slow ho jata hai","Wi-Fi"
"campus mein internet signal nahi aa raha","Wi-Fi"
"hostel room mein paani nahi aa raha","Water"
"washroom mein water supply band hai","Water"
"campus ke drinking water cooler mein paani nahi hai","Water"
"hostel mein subah se paani nahi hai","Water"
"washroom ka tap kharab hai","Water"
"water tank empty hai","Water"
"library ke paas drinking water available nahi hai","Water"
"hostel mein pani ki supply bahut irregular hai","Water"
"classroom ka fan nahi chal raha","Electricity"
"hostel mein light chali gayi hai","Electricity"
"lab ki lights kaam nahi kar rahi hain","Electricity"
"academic block mein power problem hai","Electricity"
"room ka fan aur light dono band hain","Electricity"
"electricity baar baar ja rahi hai","Electricity"
"classroom mein power supply nahi hai","Electricity"
"hostel corridor ki lights band hain","Electricity"
"hostel room allotment mein problem hai","Hostel"
"hostel room mein maintenance issue hai","Hostel"
"hostel mein room change karwana hai","Hostel"
"hostel common area properly maintain nahi hai","Hostel"
"hostel mein cleanliness ki problem hai","Hostel"
"hostel gate par entry issue ho raha hai","Hostel"
"hostel mein furniture damaged hai","Hostel"
"hostel room ki window kharab hai","Hostel"
"classroom ki benches broken hain","Classroom"
"classroom mein projector kaam nahi kar raha","Classroom"
"classroom bahut dirty hai","Classroom"
"classroom mein ventilation ki problem hai","Classroom"
"classroom ka AC kaam nahi kar raha","Classroom"
"lecture room mein seating problem hai","Classroom"
"classroom mein board properly visible nahi hai","Classroom"
"classroom ki maintenance nahi hui hai","Classroom"
"faculty ne lecture ka schedule change kar diya","Faculty"
"teacher class regularly nahi le rahe hain","Faculty"
"faculty se doubt clear nahi ho raha","Faculty"
"teacher assignment ki information nahi de rahe hain","Faculty"
"faculty attendance update nahi kar rahe hain","Faculty"
"teacher class mein bahut late aate hain","Faculty"
"faculty se communication mein problem hai","Faculty"
"teacher ne marks update nahi kiye","Faculty"
"timetable mein do classes same time par hain","Timetable"
"mera timetable galat show ho raha hai","Timetable"
"timetable mein classroom number missing hai","Timetable"
"kal ki class ka timing change hua hai","Timetable"
"timetable portal update nahi hua","Timetable"
"do subjects ki classes overlap ho rahi hain","Timetable"
"timetable mein teacher ka naam wrong hai","Timetable"
"new semester ka timetable available nahi hai","Timetable"
"fees payment portal par payment update nahi hua","Fees"
"meri semester fees receipt generate nahi ho rahi","Fees"
"fees portal kaam nahi kar raha","Fees"
"fee payment ke baad status pending hai","Fees"
"scholarship fee related information nahi mil rahi","Fees"
"fees deadline ke baare mein confusion hai","Fees"
"online fees payment fail ho rahi hai","Fees"
"fees account mein wrong amount show ho raha hai","Fees"
"campus bus time par nahi aati","Transport"
"bus route mein problem hai","Transport"
"college bus bahut late aati hai","Transport"
"transport facility available nahi hai","Transport"
"bus driver route follow nahi kar raha","Transport"
"campus shuttle service ka timing wrong hai","Transport"
"bus mein bahut overcrowding hai","Transport"
"transport schedule update nahi hua","Transport"
"mess ka khana bahut late milta hai","Mess"
"mess food ki quality bahut poor hai","Mess"
"mess mein breakfast available nahi tha","Mess"
"mess mein hygiene ki problem hai","Mess"
"mess ka menu properly follow nahi hota","Mess"
"mess mein khana thanda milta hai","Mess"
"mess mein plates properly clean nahi hain","Mess"
"mess timing students ke liye convenient nahi hai","Mess"
"library mein required book available nahi hai","Library"
"library ka AC kaam nahi kar raha","Library"
"library mein study space nahi mil raha","Library"
"library ki lights properly kaam nahi kar rahi","Library"
"library mein computer available nahi hai","Library"
"library card related problem aa rahi hai","Library"
"library timing change karne ki request hai","Library"
"library mein noise bahut zyada hai","Library"
"computer lab ke computers kaam nahi kar rahe","Lab"
"lab mein required software installed nahi hai","Lab"
"computer lab ka internet kaam nahi kar raha","Lab"
"lab mein computers bahut slow hain","Lab"
"programming lab mein system start nahi ho raha","Lab"
"lab projector kaam nahi kar raha","Lab"
"lab mein practical ke liye systems available nahi hain","Lab"
"computer lab mein maintenance required hai","Lab"
"campus mein ek general problem hai","Other"
"mujhe college administration se information chahiye","Other"
"student portal mein kuch issue aa raha hai","Other"
"campus facility ke regarding complaint hai","Other"
"mujhe ek general campus issue report karna hai","Other"
"college website par information update nahi hai","Other"
"student service se related problem hai","Other"
"administration se related ek issue hai","Other"
